1,1000000000,1,Алтайский край,г Барнаул
2,3000000000,1,Краснодарский край,г Краснодар
3,4000000000,1,Красноярский край,г Красноярск
4,5000000000,1,Приморский край,г Владивосток
5,7000000000,1,Ставропольский край,г Ставрополь
6,8000000000,1,Хабаровский край,г Хабаровск
7,10000000000,1,Амурская область,г Благовещенск
8,11000000000,1,Архангельская область,г Архангельск
9,12000000000,1,Астраханская область,г Астрахань
10,14000000000,1,Белгородская область,г Белгород
11,15000000000,1,Брянская область,г Брянск
12,17000000000,1,Владимирская область,г Владимир
13,18000000000,1,Волгоградская область,г Волгоград
14,19000000000,1,Вологодская область,г Вологда
15,20000000000,1,Воронежская область,г Воронеж
16,22000000000,1,Нижегородская область,г Нижний Новгород
17,24000000000,1,Ивановская область,г Иваново
18,25000000000,1,Иркутская область,г Иркутск
19,26000000000,1,Республика Ингушетия,г Магас
20,27000000000,1,Калининградская область,г Калининград
21,28000000000,1,Тверская область,г Тверь
22,29000000000,1,Калужская область,г Калуга
23,30000000000,1,Камчатский край,г Петропавловск-Камчатский
24,32000000000,1,Кемеровская область,г Кемерово
25,33000000000,1,Кировская область,г Киров
26,34000000000,1,Костромская область,г Кострома
27,36000000000,1,Самарская область,г Самара
28,37000000000,1,Курганская область,г Курган
29,38000000000,1,Курская область,г Курск
30,40000000000,1,Город Санкт-Петербург город федерального значения,
31,41000000000,1,Ленинградская область,г Санкт-Петербург
32,42000000000,1,Липецкая область,г Липецк
33,44000000000,1,Магаданская область,г Магадан
34,45000000000,1,Город Москва столица Российской Федерации город федерального значения,
35,46000000000,1,Московская область,г Москва
36,47000000000,1,Мурманская область,г Мурманск
37,49000000000,1,Новгородская область,г Великий Новгород
38,50000000000,1,Новосибирская область,г Новосибирск
39,52000000000,1,Омская область,г Омск
40,53000000000,1,Оренбургская область,г Оренбург
41,54000000000,1,Орловская область,г Орел
42,55000000000,1,Город Байконур город федерального значения,
43,56000000000,1,Пензенская область,г Пенза
44,57000000000,1,Пермский край,г Пермь
45,58000000000,1,Псковская область,г Псков
46,60000000000,1,Ростовская область,г Ростов-на-Дону
47,61000000000,1,Рязанская область,г Рязань
48,63000000000,1,Саратовская область,г Саратов
49,64000000000,1,Сахалинская область,г Южно-Сахалинск
50,65000000000,1,Свердловская область,г Екатеринбург
51,66000000000,1,Смоленская область,г Смоленск
52,68000000000,1,Тамбовская область,г Тамбов
53,69000000000,1,Томская область,г Томск
54,70000000000,1,Тульская область,г Тула
55,71000000000,1,Тюменская область,г Тюмень
56,73000000000,1,Ульяновская область,г Ульяновск
57,75000000000,1,Челябинская область,г Челябинск
58,76000000000,1,Читинская область,г Чита
59,77000000000,1,Чукотский автономный округ,г Анадырь
60,78000000000,1,Ярославская область,г Ярославль
61,79000000000,1,Республика Адыгея (Адыгея),г Майкоп
62,80000000000,1,Республика Башкортостан,г Уфа
63,81000000000,1,Республика Бурятия,г Улан-Удэ
64,82000000000,1,Республика Дагестан,г Махачкала
65,83000000000,1,Кабардино-Балкарская Республика,г Нальчик
66,84000000000,1,Республика Алтай,г Горно-Алтайск
67,85000000000,1,Республика Калмыкия,г Элиста
68,86000000000,1,Республика Карелия,г Петрозаводск
69,87000000000,1,Республика Коми,г Сыктывкар
70,88000000000,1,Республика Марий Эл,г Йошкар-Ола
71,89000000000,1,Республика Мордовия,г Саранск
72,90000000000,1,Республика Северная Осетия-Алания,г Владикавказ
73,91000000000,1,Карачаево-Черкесская Республика,г Черкесск
74,92000000000,1,Республика Татарстан (Татарстан),г Казань
75,93000000000,1,Республика Тыва,г Кызыл
76,94000000000,1,Удмуртская Республика,г Ижевск
77,95000000000,1,Республика Хакасия,г Абакан
78,96000000000,1,Чеченская Республика,г Грозный
79,97000000000,1,Чувашская Республика - Чувашия,г Чебоксары
80,98000000000,1,Республика Саха (Якутия),г Якутск
81,99000000000,1,Еврейская автономная область,г Биробиджан
